project_id	case_id	case_submitter_id	sample_id	sample_submitter_id	portion_id	portion_submitter_id	analyte_id	analyte_submitter_id	a260_a280_ratio	amount	analyte_quantity	analyte_type	analyte_type_id	analyte_volume	concentration	experimental_protocol_type	normal_tumor_genotype_snp_match	ribosomal_rna_28s_16s_ratio	rna_integrity_number	spectrophotometer_method	state	well_number
TCGA-PAAD	20094e3e-cee3-41dd-8553-1fc393117786	TCGA-F2-A44G	8cac0455-587a-40d2-87e8-d84dbaecfe5e	TCGA-F2-A44G-10A	ef2e602d-8032-4dd8-ab88-d6ec8fca973b	TCGA-F2-A44G-10A-01	e5ee3d33-aac6-40cc-b6a0-120b74105592	TCGA-F2-A44G-10A-01W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	Repli-G	Yes	'--	'--	'--	released	'--
TCGA-PAAD	620e0648-ec20-4a12-a6cb-5546fe829c77	TCGA-HZ-7918	050b1856-176b-4b63-a439-dedcea9ca164	TCGA-HZ-7918-10A	ac400d49-0119-401b-9439-f5a9cc971149	TCGA-HZ-7918-10A-01	bbf109ba-0b66-4cad-b8b3-8ead08bd8133	TCGA-HZ-7918-10A-01W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	0.5	Repli-G	Yes	'--	'--	PicoGreen	released	'--
TCGA-PAAD	620e0648-ec20-4a12-a6cb-5546fe829c77	TCGA-HZ-7918	050b1856-176b-4b63-a439-dedcea9ca164	TCGA-HZ-7918-10A	ac400d49-0119-401b-9439-f5a9cc971149	TCGA-HZ-7918-10A-01	e3f41c25-3037-4713-b2b3-80f484ce3c0a	TCGA-HZ-7918-10A-01D	'--	'--	'--	DNA	D	'--	0.17	Chemical Lysis DNA Extraction	Yes	'--	'--	PicoGreen	released	'--
TCGA-PAAD	620e0648-ec20-4a12-a6cb-5546fe829c77	TCGA-HZ-7918	42ae9a70-ea04-4403-86cc-3da6fd120cde	TCGA-HZ-7918-01A	ef74d9f6-19e5-42c5-8775-e3413c2d6a56	TCGA-HZ-7918-01A-11	88a9858a-23ca-4e59-8063-ce82cafa5883	TCGA-HZ-7918-01A-11R	'--	'--	'--	RNA	R	'--	0.16	mirVana (Allprep DNA) RNA	Yes	1.66	9.1	UV Spec	released	'--
TCGA-PAAD	620e0648-ec20-4a12-a6cb-5546fe829c77	TCGA-HZ-7918	42ae9a70-ea04-4403-86cc-3da6fd120cde	TCGA-HZ-7918-01A	ef74d9f6-19e5-42c5-8775-e3413c2d6a56	TCGA-HZ-7918-01A-11	98a0a126-9ed3-4f4a-9395-648a5cc2d3fc	TCGA-HZ-7918-01A-11D	'--	'--	'--	DNA	D	'--	0.14	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
TCGA-PAAD	620e0648-ec20-4a12-a6cb-5546fe829c77	TCGA-HZ-7918	42ae9a70-ea04-4403-86cc-3da6fd120cde	TCGA-HZ-7918-01A	ef74d9f6-19e5-42c5-8775-e3413c2d6a56	TCGA-HZ-7918-01A-11	a7b5bf1b-6980-4216-9150-d6964dd06130	TCGA-HZ-7918-01A-11W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	0.5	Repli-G	Yes	'--	'--	PicoGreen	released	'--
TCGA-PAAD	94cd2278-7c76-423b-a44b-564776211a07	TCGA-HZ-A9TJ	050ef405-1e50-47f8-9800-bf93e219e550	TCGA-HZ-A9TJ-10A	bdcbfaf8-56ef-4a1f-93b0-698c017fdaa0	TCGA-HZ-A9TJ-10A-01	b728ecc5-aba4-49a6-979d-9cb219bcffc5	TCGA-HZ-A9TJ-10A-01D	'--	'--	'--	DNA	D	'--	0.14	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
TCGA-PAAD	94cd2278-7c76-423b-a44b-564776211a07	TCGA-HZ-A9TJ	599da307-d973-4ad7-b7ce-daa3ba62fe77	TCGA-HZ-A9TJ-01A	3ae75e99-00c0-47b9-b236-bcbbbdd022be	TCGA-HZ-A9TJ-01A-11	0974e9d6-0cdb-46b1-b036-ae2b3034f9c4	TCGA-HZ-A9TJ-01A-11R	1.91	'--	'--	RNA	R	'--	0.15	mirVana (Allprep DNA) RNA	Yes	1.12	7.6	UV Spec	released	'--
TCGA-PAAD	94cd2278-7c76-423b-a44b-564776211a07	TCGA-HZ-A9TJ	599da307-d973-4ad7-b7ce-daa3ba62fe77	TCGA-HZ-A9TJ-01A	3ae75e99-00c0-47b9-b236-bcbbbdd022be	TCGA-HZ-A9TJ-01A-11	9a0d09b0-662d-48dd-9d16-d7ed1ea87873	TCGA-HZ-A9TJ-01A-11D	'--	'--	'--	DNA	D	'--	0.16	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
TCGA-PAAD	94cd2278-7c76-423b-a44b-564776211a07	TCGA-HZ-A9TJ	6330144b-5365-400b-a0ca-fbb5c86a3759	TCGA-HZ-A9TJ-06A	d5e159ab-f70b-46f9-b0b9-7e1aa4d8c48a	TCGA-HZ-A9TJ-06A-11	da942a8f-f122-4b77-b244-d0db589d782d	TCGA-HZ-A9TJ-06A-11D	'--	'--	'--	DNA	D	'--	0.15	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
TCGA-PAAD	94cd2278-7c76-423b-a44b-564776211a07	TCGA-HZ-A9TJ	6330144b-5365-400b-a0ca-fbb5c86a3759	TCGA-HZ-A9TJ-06A	d5e159ab-f70b-46f9-b0b9-7e1aa4d8c48a	TCGA-HZ-A9TJ-06A-11	ef1b1ceb-3b13-4157-8cea-9f59474745d8	TCGA-HZ-A9TJ-06A-11R	1.83	'--	'--	RNA	R	'--	0.15	mirVana (Allprep DNA) RNA	Yes	1.48	8.6	UV Spec	released	'--
TCGA-PAAD	ecdd0e44-0add-4a08-a3f8-ab2f51df7afd	TCGA-FB-AAPQ	90ed184f-1712-4040-b3dc-6dc1118fc1ae	TCGA-FB-AAPQ-11A	7fe593f1-fbe4-4662-a127-9f540e3bffe2	TCGA-FB-AAPQ-11A-11	393783cb-1b8c-467c-a9ed-a93ba7eacb8a	TCGA-FB-AAPQ-11A-11D	'--	'--	'--	DNA	D	'--	0.17	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
TCGA-PAAD	ecdd0e44-0add-4a08-a3f8-ab2f51df7afd	TCGA-FB-AAPQ	dbad19a2-7a1c-4d24-8805-c27c8eb6d859	TCGA-FB-AAPQ-01A	288b45a0-997f-4c47-a8fe-28c2e8f8a232	TCGA-FB-AAPQ-01A-11	256b216f-3499-4c91-914a-3b3032abb9a2	TCGA-FB-AAPQ-01A-11D	'--	'--	'--	DNA	D	'--	0.16	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
TCGA-PAAD	ecdd0e44-0add-4a08-a3f8-ab2f51df7afd	TCGA-FB-AAPQ	dbad19a2-7a1c-4d24-8805-c27c8eb6d859	TCGA-FB-AAPQ-01A	288b45a0-997f-4c47-a8fe-28c2e8f8a232	TCGA-FB-AAPQ-01A-11	fda93625-440d-41d6-956f-98213297843c	TCGA-FB-AAPQ-01A-11R	1.78	'--	'--	RNA	R	'--	0.15	mirVana (Allprep DNA) RNA	Yes	1.17	7.0	UV Spec	released	'--
TCGA-PAAD	31e66b80-c684-4ee8-82ae-36d00f36bc88	TCGA-IB-7889	0607448a-cf36-47b9-abb1-9f812e83a57e	TCGA-IB-7889-10A	0046fe52-e5e7-464a-a3a7-0127727327df	TCGA-IB-7889-10A-01	5c09b266-cd54-456c-9952-e33674fa3136	TCGA-IB-7889-10A-01D	'--	'--	'--	DNA	D	'--	0.15	Pre-extracted DNA received by TSS	Yes	'--	'--	PicoGreen	released	'--
TCGA-PAAD	31e66b80-c684-4ee8-82ae-36d00f36bc88	TCGA-IB-7889	0607448a-cf36-47b9-abb1-9f812e83a57e	TCGA-IB-7889-10A	0046fe52-e5e7-464a-a3a7-0127727327df	TCGA-IB-7889-10A-01	69d76d21-5c8b-43d3-b81e-2b2b2750f394	TCGA-IB-7889-10A-01W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	0.5	Repli-G	Yes	'--	'--	PicoGreen	released	'--
TCGA-PAAD	31e66b80-c684-4ee8-82ae-36d00f36bc88	TCGA-IB-7889	8f23878e-87bb-4d34-a566-4b2d4999f1e6	TCGA-IB-7889-01A	c142f2c8-d748-4aad-a55b-202dd41ff84e	TCGA-IB-7889-01A-11	85dbdca1-c03a-47be-a935-6cc546024339	TCGA-IB-7889-01A-11W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	0.5	Repli-G	Yes	'--	'--	PicoGreen	released	'--
TCGA-PAAD	31e66b80-c684-4ee8-82ae-36d00f36bc88	TCGA-IB-7889	8f23878e-87bb-4d34-a566-4b2d4999f1e6	TCGA-IB-7889-01A	c142f2c8-d748-4aad-a55b-202dd41ff84e	TCGA-IB-7889-01A-11	8c2c7508-aafb-40cd-9517-c14846595307	TCGA-IB-7889-01A-11D	'--	'--	'--	DNA	D	'--	0.13	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
TCGA-PAAD	31e66b80-c684-4ee8-82ae-36d00f36bc88	TCGA-IB-7889	8f23878e-87bb-4d34-a566-4b2d4999f1e6	TCGA-IB-7889-01A	c142f2c8-d748-4aad-a55b-202dd41ff84e	TCGA-IB-7889-01A-11	d6a1fd9f-c471-4672-980c-070e76c97cb1	TCGA-IB-7889-01A-11R	'--	'--	'--	RNA	R	'--	0.15	mirVana (Allprep DNA) RNA	Yes	1.35	7.9	UV Spec	released	'--
TCGA-PAAD	5750a6ed-2516-456d-97d4-2f6486845ed8	TCGA-LB-A7SX	99272586-8546-49cd-971e-431622f1be4a	TCGA-LB-A7SX-01A	80b7239f-6ad4-4682-9dcb-2049d14856d3	TCGA-LB-A7SX-01A-11	121c33f7-0286-45b9-ae16-9ca1b89abbc1	TCGA-LB-A7SX-01A-11D	'--	'--	'--	DNA	D	'--	0.14	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
TCGA-PAAD	5750a6ed-2516-456d-97d4-2f6486845ed8	TCGA-LB-A7SX	99272586-8546-49cd-971e-431622f1be4a	TCGA-LB-A7SX-01A	80b7239f-6ad4-4682-9dcb-2049d14856d3	TCGA-LB-A7SX-01A-11	a8e0524e-0f37-4350-9672-79e6a87d71b2	TCGA-LB-A7SX-01A-11R	1.9	'--	'--	RNA	R	'--	0.17	mirVana (Allprep DNA) RNA	Yes	1.59	7.8	UV Spec	released	'--
TCGA-PAAD	5750a6ed-2516-456d-97d4-2f6486845ed8	TCGA-LB-A7SX	99272586-8546-49cd-971e-431622f1be4a	TCGA-LB-A7SX-01A	80b7239f-6ad4-4682-9dcb-2049d14856d3	TCGA-LB-A7SX-01A-11	dda748aa-7787-45c1-9bf2-7638b1c07f55	TCGA-LB-A7SX-01A-11W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	Repli-G	Yes	'--	'--	'--	released	'--
TCGA-PAAD	5750a6ed-2516-456d-97d4-2f6486845ed8	TCGA-LB-A7SX	e19f9b9c-8588-49a1-b701-d5a92819b79f	TCGA-LB-A7SX-10A	98a3b8a7-1860-4e5e-9242-3d7a4a4c4d01	TCGA-LB-A7SX-10A-01	b7bebef6-04d8-4d37-86ab-f583f5d42e51	TCGA-LB-A7SX-10A-01D	'--	'--	'--	DNA	D	'--	0.15	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
TCGA-PAAD	5750a6ed-2516-456d-97d4-2f6486845ed8	TCGA-LB-A7SX	e19f9b9c-8588-49a1-b701-d5a92819b79f	TCGA-LB-A7SX-10A	98a3b8a7-1860-4e5e-9242-3d7a4a4c4d01	TCGA-LB-A7SX-10A-01	dd34d1e2-8dc0-4728-a283-c72dc5fc7f27	TCGA-LB-A7SX-10A-01W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	Repli-G	Yes	'--	'--	'--	released	'--
TCGA-PAAD	d8aa891c-8050-471e-ad3e-32b9c5e9db03	TCGA-2L-AAQA	d08f79b2-150a-44cf-9b8f-4b1dad26300e	TCGA-2L-AAQA-01A	c1fb1b59-8a4e-4935-9446-4195b09e92dd	TCGA-2L-AAQA-01A-21	518e74e8-df62-420a-a837-0a9acdb1430a	TCGA-2L-AAQA-01A-21R	1.83	'--	'--	RNA	R	'--	0.17	mirVana (Allprep DNA) RNA	Yes	1.61	8.4	UV Spec	released	'--
TCGA-PAAD	d8aa891c-8050-471e-ad3e-32b9c5e9db03	TCGA-2L-AAQA	d08f79b2-150a-44cf-9b8f-4b1dad26300e	TCGA-2L-AAQA-01A	c1fb1b59-8a4e-4935-9446-4195b09e92dd	TCGA-2L-AAQA-01A-21	6209789a-8d9b-480f-bda6-63ecc2533a65	TCGA-2L-AAQA-01A-21D	'--	'--	'--	DNA	D	'--	0.17	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
TCGA-PAAD	d8aa891c-8050-471e-ad3e-32b9c5e9db03	TCGA-2L-AAQA	d08f79b2-150a-44cf-9b8f-4b1dad26300e	TCGA-2L-AAQA-01A	c1fb1b59-8a4e-4935-9446-4195b09e92dd	TCGA-2L-AAQA-01A-21	623788bf-2941-4d07-9735-32964b8910f3	TCGA-2L-AAQA-01A-21W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	Repli-G	Yes	'--	'--	'--	released	'--
TCGA-PAAD	d8aa891c-8050-471e-ad3e-32b9c5e9db03	TCGA-2L-AAQA	e1dc85ab-a4ab-4054-87ac-a0eef5255720	TCGA-2L-AAQA-11A	b495a62e-036e-44f9-92d3-38f1adfecd6a	TCGA-2L-AAQA-11A-11	4c1bbdaf-7583-4079-90e3-368f266c6891	TCGA-2L-AAQA-11A-11D	'--	'--	'--	DNA	D	'--	0.16	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
TCGA-PAAD	d8aa891c-8050-471e-ad3e-32b9c5e9db03	TCGA-2L-AAQA	e1dc85ab-a4ab-4054-87ac-a0eef5255720	TCGA-2L-AAQA-11A	b495a62e-036e-44f9-92d3-38f1adfecd6a	TCGA-2L-AAQA-11A-11	b2cf0bda-8d42-4364-9181-a152cea06579	TCGA-2L-AAQA-11A-11W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	Repli-G	Yes	'--	'--	'--	released	'--
TCGA-PAAD	2048d0f9-ed9f-46df-bcd4-3dfd9137670f	TCGA-FB-AAPS	0dd80160-fc7e-4162-b744-32474bb7223e	TCGA-FB-AAPS-01A	0446e668-02e7-423f-9cb5-eb3554d60dbb	TCGA-FB-AAPS-01A-12	0381c937-b132-461c-bd46-ca89dff0f7db	TCGA-FB-AAPS-01A-12W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	Repli-G	Yes	'--	'--	'--	released	'--
TCGA-PAAD	2048d0f9-ed9f-46df-bcd4-3dfd9137670f	TCGA-FB-AAPS	0dd80160-fc7e-4162-b744-32474bb7223e	TCGA-FB-AAPS-01A	0446e668-02e7-423f-9cb5-eb3554d60dbb	TCGA-FB-AAPS-01A-12	59e0fa49-efce-42ab-a6ed-bd7af23061fe	TCGA-FB-AAPS-01A-12D	'--	'--	'--	DNA	D	'--	0.17	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
TCGA-PAAD	2048d0f9-ed9f-46df-bcd4-3dfd9137670f	TCGA-FB-AAPS	0dd80160-fc7e-4162-b744-32474bb7223e	TCGA-FB-AAPS-01A	0446e668-02e7-423f-9cb5-eb3554d60dbb	TCGA-FB-AAPS-01A-12	88f1a42c-2f86-4f21-84f0-4fa7ddd4955d	TCGA-FB-AAPS-01A-12R	1.85	'--	'--	RNA	R	'--	0.18	mirVana (Allprep DNA) RNA	Yes	1.33	7.0	UV Spec	released	'--
TCGA-PAAD	2048d0f9-ed9f-46df-bcd4-3dfd9137670f	TCGA-FB-AAPS	f086f368-b649-4e99-8b9b-e42f68cbc493	TCGA-FB-AAPS-11A	08ec84d3-9661-40c9-917d-d2fdd43c02a7	TCGA-FB-AAPS-11A-11	3caa1e37-391a-4351-8ec2-1c118d2feb70	TCGA-FB-AAPS-11A-11W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	Repli-G	Yes	'--	'--	'--	released	'--
TCGA-PAAD	2048d0f9-ed9f-46df-bcd4-3dfd9137670f	TCGA-FB-AAPS	f086f368-b649-4e99-8b9b-e42f68cbc493	TCGA-FB-AAPS-11A	08ec84d3-9661-40c9-917d-d2fdd43c02a7	TCGA-FB-AAPS-11A-11	4ca4cbcb-ac35-4f7b-bac5-77f4d85ff483	TCGA-FB-AAPS-11A-11D	'--	'--	'--	DNA	D	'--	0.16	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
TCGA-PAAD	2faea98a-edf7-4e92-bfb7-f91a36259872	TCGA-HZ-7919	0f061107-516f-485c-bb39-d9065fa87c50	TCGA-HZ-7919-10A	d503a3ff-aa50-4ca5-b054-d0963be1cb3b	TCGA-HZ-7919-10A-01	1f5b927c-d474-4cff-8d3a-3a47311e8c90	TCGA-HZ-7919-10A-01W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	0.5	Repli-G	Yes	'--	'--	PicoGreen	released	'--
TCGA-PAAD	2faea98a-edf7-4e92-bfb7-f91a36259872	TCGA-HZ-7919	0f061107-516f-485c-bb39-d9065fa87c50	TCGA-HZ-7919-10A	d503a3ff-aa50-4ca5-b054-d0963be1cb3b	TCGA-HZ-7919-10A-01	d69f8a7b-80e8-4dff-9639-e4edbe5e0212	TCGA-HZ-7919-10A-01D	'--	'--	'--	DNA	D	'--	0.13	Chemical Lysis DNA Extraction	Yes	'--	'--	PicoGreen	released	'--
TCGA-PAAD	2faea98a-edf7-4e92-bfb7-f91a36259872	TCGA-HZ-7919	8b70f409-f05a-4518-8bb1-8e8a07aab572	TCGA-HZ-7919-01A	6138aa6f-1d95-4fa3-a7a7-0cc9a5c67784	TCGA-HZ-7919-01A-11	15321100-c8c0-4d88-8700-deb35e1be099	TCGA-HZ-7919-01A-11D	'--	'--	'--	DNA	D	'--	0.15	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
TCGA-PAAD	2faea98a-edf7-4e92-bfb7-f91a36259872	TCGA-HZ-7919	8b70f409-f05a-4518-8bb1-8e8a07aab572	TCGA-HZ-7919-01A	6138aa6f-1d95-4fa3-a7a7-0cc9a5c67784	TCGA-HZ-7919-01A-11	2c4141b4-f31a-4425-92cd-6e95ac0a270b	TCGA-HZ-7919-01A-11W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	0.5	Repli-G	Yes	'--	'--	PicoGreen	released	'--
TCGA-PAAD	2faea98a-edf7-4e92-bfb7-f91a36259872	TCGA-HZ-7919	8b70f409-f05a-4518-8bb1-8e8a07aab572	TCGA-HZ-7919-01A	6138aa6f-1d95-4fa3-a7a7-0cc9a5c67784	TCGA-HZ-7919-01A-11	7f105910-bde3-48e9-981c-9911f30d1d2c	TCGA-HZ-7919-01A-11R	'--	'--	'--	RNA	R	'--	0.16	mirVana (Allprep DNA) RNA	Yes	1.63	8.9	UV Spec	released	'--
TCGA-PAAD	dd7bcdd8-1660-4dab-9860-9d136c4cee77	TCGA-XN-A8T3	0f850dd7-7a15-434d-acf6-2398f53cf6ad	TCGA-XN-A8T3-01A	42989c7a-453f-4ffa-b04b-635427f216ff	TCGA-XN-A8T3-01A-11	56f745e8-ffa5-4544-a72a-93a7796436e6	TCGA-XN-A8T3-01A-11D	'--	'--	'--	DNA	D	'--	0.15	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
TCGA-PAAD	dd7bcdd8-1660-4dab-9860-9d136c4cee77	TCGA-XN-A8T3	0f850dd7-7a15-434d-acf6-2398f53cf6ad	TCGA-XN-A8T3-01A	42989c7a-453f-4ffa-b04b-635427f216ff	TCGA-XN-A8T3-01A-11	a60fb104-b7e5-4b45-aad9-de07e8543ba9	TCGA-XN-A8T3-01A-11W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	Repli-G	Yes	'--	'--	'--	released	'--
TCGA-PAAD	dd7bcdd8-1660-4dab-9860-9d136c4cee77	TCGA-XN-A8T3	0f850dd7-7a15-434d-acf6-2398f53cf6ad	TCGA-XN-A8T3-01A	42989c7a-453f-4ffa-b04b-635427f216ff	TCGA-XN-A8T3-01A-11	cf66829f-d645-4e12-a8b9-f46afac3ce87	TCGA-XN-A8T3-01A-11R	1.84	'--	'--	RNA	R	'--	0.16	mirVana (Allprep DNA) RNA	Yes	1.26	7.2	UV Spec	released	'--
TCGA-PAAD	dd7bcdd8-1660-4dab-9860-9d136c4cee77	TCGA-XN-A8T3	fd5b2649-1b9b-4c0a-aef3-f193ab5b8bac	TCGA-XN-A8T3-10A	54e5ac5b-c19d-4310-b4ef-e1d6d0f73fec	TCGA-XN-A8T3-10A-01	63fae309-31b8-40a3-ac52-a5ff72fbe7c6	TCGA-XN-A8T3-10A-01W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	Repli-G	Yes	'--	'--	'--	released	'--
TCGA-PAAD	dd7bcdd8-1660-4dab-9860-9d136c4cee77	TCGA-XN-A8T3	fd5b2649-1b9b-4c0a-aef3-f193ab5b8bac	TCGA-XN-A8T3-10A	54e5ac5b-c19d-4310-b4ef-e1d6d0f73fec	TCGA-XN-A8T3-10A-01	e0e7c02f-24cb-4932-995e-de5d65194c9e	TCGA-XN-A8T3-10A-01D	'--	'--	'--	DNA	D	'--	0.14	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
TCGA-PAAD	7e4e5633-6f83-4b46-b6eb-64b3f2866ba3	TCGA-H6-8124	0fc0fe04-ddc5-4b20-a3fc-5f2fcdff6782	TCGA-H6-8124-11A	ff65623f-c163-476f-8dd1-c728a98e51a0	TCGA-H6-8124-11A-01	02c4db00-c738-4dae-bc53-de7addbc99bd	TCGA-H6-8124-11A-01W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	Repli-G X	Yes	'--	'--	'--	released	'--
TCGA-PAAD	7e4e5633-6f83-4b46-b6eb-64b3f2866ba3	TCGA-H6-8124	0fc0fe04-ddc5-4b20-a3fc-5f2fcdff6782	TCGA-H6-8124-11A	ff65623f-c163-476f-8dd1-c728a98e51a0	TCGA-H6-8124-11A-01	31148f90-ca10-4555-9b0a-389f5836bd00	TCGA-H6-8124-11A-01D	'--	'--	'--	DNA	D	'--	0.16	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
